Client,Recency,Frequency,Revenue,RecencyCluster,FrequencyCluster,RevenueCluster,OverallScore,Segment
Lori Rowe,368,18,758,1,0,0,1,Low-Value
Tracie Castaneda,317,9,518,1,0,0,1,Low-Value
Juan Brennan,344,2,200,1,0,0,1,Low-Value
Denise Davis,412,27,78.6,1,0,0,1,Low-Value
James Odom,434,81,1053,1,0,0,1,Low-Value
Caitlyn Briggs,426,52,279.8,1,0,0,1,Low-Value
Edward Williams,434,100,486.4,1,0,0,1,Low-Value
Andre Harvey,318,10,565,1,0,0,1,Low-Value
Bryan Greer,326,7,86,1,0,0,1,Low-Value
James Garner,444,7,194,1,0,0,1,Low-Value
Christina Riggs,328,3,485,1,0,0,1,Low-Value
James Davis,451,26,968,1,0,0,1,Low-Value
Vincent Oconnell,433,164,878.1,1,0,0,1,Low-Value
Ashley Owen,430,65,432.1,1,0,0,1,Low-Value
Jack Mason,492,39,306,1,0,0,1,Low-Value
Jack Yoder,332,6,759,1,0,0,1,Low-Value
Tyler Cooke,422,90,3186.35,1,0,0,1,Low-Value
Christian Shea,455,11,858,1,0,0,1,Low-Value
Michael Cisneros,429,76,359.5,1,0,0,1,Low-Value
Thomas Garrett,491,43,382,1,0,0,1,Low-Value
Devin Hall,450,59,3160.3,1,0,0,1,Low-Value
Daniel Garcia,423,8,30,1,0,0,1,Low-Value
Jeremiah Collins,429,4,163,1,0,0,1,Low-Value
Laura Reeves,430,69,8081,1,0,0,1,Low-Value
Alexis Chapman,417,24,118.83,1,0,0,1,Low-Value
John Gonzalez,486,19,209,1,0,0,1,Low-Value
Willie Rowe,409,15,138.8,1,0,0,1,Low-Value
Marcus Holloway MD,449,29,6760,1,0,0,1,Low-Value
Tim Silva,426,2,57,1,0,0,1,Low-Value
Julie Austin,430,9,3062,1,0,0,1,Low-Value
Carlos Ryan,429,16,1548,1,0,0,1,Low-Value
Jessica Thompson,415,4,107,1,0,0,1,Low-Value
Kim Jones,408,34,188.5,1,0,0,1,Low-Value
Jessica Flores,494,26,625.2,1,0,0,1,Low-Value
Michael Patel,472,16,1305,1,0,0,1,Low-Value
Stephen Brown,413,15,1791,1,0,0,1,Low-Value
Mike Cook,409,42,3395,1,0,0,1,Low-Value
Jessica Kirk,441,19,440,1,0,0,1,Low-Value
Tiffany Gallegos,483,17,924,1,0,0,1,Low-Value
Rodney Lee,441,16,8755,1,0,0,1,Low-Value
Danielle Adams,437,10,399,1,0,0,1,Low-Value
Rebecca Lara,433,65,350.9,1,0,0,1,Low-Value
James Brown,424,31,2405,1,0,0,1,Low-Value
Julie Maldonado,409,11,1770,1,0,0,1,Low-Value
Katie Nguyen,433,83,1639.7,1,0,0,1,Low-Value
Melissa Calhoun,457,27,493,1,0,0,1,Low-Value
James Bates,477,7,606,1,0,0,1,Low-Value
Kent Cross,417,218,2275.7,1,0,0,1,Low-Value
Bianca Shelton,436,11,102.2,1,0,0,1,Low-Value
Michael Pineda,430,72,402.7,1,0,0,1,Low-Value
Justin Heath,410,5,595,1,0,0,1,Low-Value
Rebecca Ramirez,433,36,1695,1,0,0,1,Low-Value
Robert Rodriguez,434,127,1236.5,1,0,0,1,Low-Value
Raymond Odonnell,476,7,1338,1,0,0,1,Low-Value
Mark Rosales,409,6,17.8,1,0,0,1,Low-Value
Pamela Copeland,415,16,1104,1,0,0,1,Low-Value
Kevin Singh,434,7,308,1,0,0,1,Low-Value
Raven Lin,435,110,3525,1,0,0,1,Low-Value
Thomas Roman,494,5,2080,1,0,0,1,Low-Value
Donald Powell,484,10,50,1,0,0,1,Low-Value
Daniel Allison,455,2,60,1,0,0,1,Low-Value
Mallory Robinson,463,22,117.1,1,0,0,1,Low-Value
Tyler Anderson,415,3,62,1,0,0,1,Low-Value
Ashley Hayes,435,17,363.8,1,0,0,1,Low-Value
Ashley Cisneros,430,65,646.6,1,0,0,1,Low-Value
Becky Hamilton,434,10,422,1,0,0,1,Low-Value
Desiree Rodriguez,410,44,3478,1,0,0,1,Low-Value
John Roberts,408,2,245,1,0,0,1,Low-Value
David Thompson,449,12,1988,1,0,0,1,Low-Value
Erica Graham,430,7,0,1,0,0,1,Low-Value
Kelly Montoya,410,152,705.55,1,0,0,1,Low-Value
Danielle Rodriguez,408,28,1091,1,0,0,1,Low-Value
Gary Lewis,471,16,1724,1,0,0,1,Low-Value
Jill Robles,409,40,90.5,1,0,0,1,Low-Value
Martin Williams,409,87,496.4,1,0,0,1,Low-Value
Brenda Martinez,428,38,531.2,1,0,0,1,Low-Value
Matthew Moore,433,3,114,1,0,0,1,Low-Value
Holly Jones,438,60,424.2,1,0,0,1,Low-Value
Larry Frank,422,18,4967,1,0,0,1,Low-Value
Beth Howell,431,20,1404,1,0,0,1,Low-Value
Kevin Schroeder,431,131,3028,1,0,0,1,Low-Value
Dana Brown,492,28,4448,1,0,0,1,Low-Value
Leslie Austin,420,7,134,1,0,0,1,Low-Value
Carolyn Lopez,441,10,1649,1,0,0,1,Low-Value
Michael Miller,424,46,1106,1,0,0,1,Low-Value
Joseph Smith,438,36,2899,1,0,0,1,Low-Value
Nicole Rosales,465,13,124,1,0,0,1,Low-Value
Daniel Saunders,478,24,502,1,0,0,1,Low-Value
Matthew Combs,431,106,2750,1,0,0,1,Low-Value
Paul Harrington,429,16,1594,1,0,0,1,Low-Value
Daniel Ramsey,416,37,732,1,0,0,1,Low-Value
Michael Wallace,492,89,2676,1,0,0,1,Low-Value
Desiree Ashley,429,41,250,1,0,0,1,Low-Value
Erin Gomez,435,4,157,1,0,0,1,Low-Value
Kendra Miller,455,11,236,1,0,0,1,Low-Value
Seth Sanders,454,64,10294,1,0,0,1,Low-Value
Robert Mcpherson,420,49,294.8,1,0,0,1,Low-Value
William Rivera,450,3,0,1,0,0,1,Low-Value
Ellen Davis,430,110,615.15,1,0,0,1,Low-Value
Douglas Johnson,483,40,580,1,0,0,1,Low-Value
Monica Huber,429,119,614.5,1,0,0,1,Low-Value
Harold Campbell,437,13,873,1,0,0,1,Low-Value
Daniel Howard,417,43,1363.1,1,0,0,1,Low-Value
Logan Castro,423,31,8477,1,0,0,1,Low-Value
Monica Smith,422,3,294,1,0,0,1,Low-Value
Stephanie Newton,452,11,211,1,0,0,1,Low-Value
Jennifer Baker,450,75,2762,1,0,0,1,Low-Value
Michelle Knapp,430,15,570,1,0,0,1,Low-Value
Matthew Garcia,458,43,1179,1,0,0,1,Low-Value
Kenneth Hughes,491,39,3986,1,0,0,1,Low-Value
Paula Phillips,478,14,442,1,0,0,1,Low-Value
Erica Johnson,435,31,84.5,1,0,0,1,Low-Value
Holly Hernandez,426,8,308,1,0,0,1,Low-Value
Alejandro Johnson,430,111,915.2,1,0,0,1,Low-Value
Joseph Brown,423,5,2357,1,0,0,1,Low-Value
Matthew Williamson,493,18,831,1,0,0,1,Low-Value
Ricky Espinoza,438,6,891,1,0,0,1,Low-Value
James Perez,442,4,436,1,0,0,1,Low-Value
Tracy Rivera,461,12,430,1,0,0,1,Low-Value
Carla Murphy,443,40,3613,1,0,0,1,Low-Value
Regina Marquez,452,2,328,1,0,0,1,Low-Value
Kathleen Herring,427,13,408,1,0,0,1,Low-Value
George Mckay,409,10,198,1,0,0,1,Low-Value
Mitchell Larsen,410,28,278,1,0,0,1,Low-Value
Katie Rodriguez,450,18,859,1,0,0,1,Low-Value
Jordan Perez,480,6,1617,1,0,0,1,Low-Value
David Gonzalez,441,4,195,1,0,0,1,Low-Value
James Johnson,409,53,1189.2,1,0,0,1,Low-Value
Sarah Evans,422,3,160,1,0,0,1,Low-Value
Adrian Moss,423,53,574.9,1,0,0,1,Low-Value
Samuel Clayton,486,12,1995,1,0,0,1,Low-Value
Rebecca Garza,441,5,166.6,1,0,0,1,Low-Value
Alexandra Hernandez,454,3,454,1,0,0,1,Low-Value
Jennifer Proctor,462,67,2881,1,0,0,1,Low-Value
Alyssa Tate,452,4,106,1,0,0,1,Low-Value
Nicole Miller,412,21,1086,1,0,0,1,Low-Value
Mary Anderson,429,32,4324,1,0,0,1,Low-Value
Michael Russell,478,31,3980,1,0,0,1,Low-Value
Brandon Cook,473,29,147,1,0,0,1,Low-Value
Rodney Harvey,410,12,1546,1,0,0,1,Low-Value
Janet Hanson,423,26,514,1,0,0,1,Low-Value
Taylor Morris,430,29,180.5,1,0,0,1,Low-Value
Karen Booth,429,10,2371,1,0,0,1,Low-Value
Tommy Velasquez,491,102,5835,1,0,0,1,Low-Value
Alexandria Hoffman,473,114,459.6,1,0,0,1,Low-Value
Tammy Rodriguez,464,7,303,1,0,0,1,Low-Value
Anthony Sims,442,81,572.35,1,0,0,1,Low-Value
Cheyenne Mcclure,459,10,169,1,0,0,1,Low-Value
Whitney Harris,409,10,281,1,0,0,1,Low-Value
Michelle Marshall,430,5,102,1,0,0,1,Low-Value
Jeffrey Hood,421,7,607,1,0,0,1,Low-Value
Julie Hall,415,22,110.8,1,0,0,1,Low-Value
Adrian Howard,419,16,87.2,1,0,0,1,Low-Value
Jason Gardner,429,216,1880.89,1,0,0,1,Low-Value
Erica Hoffman,430,164,3707,1,0,0,1,Low-Value
Nicholas Williams,430,14,937,1,0,0,1,Low-Value
Sarah Wood,438,8,570,1,0,0,1,Low-Value
Brian Peck,431,25,3165,1,0,0,1,Low-Value
Jason Foster,455,9,430,1,0,0,1,Low-Value
Michele Romero,408,21,2462,1,0,0,1,Low-Value
Jonathan Lee,472,9,245,1,0,0,1,Low-Value
Michelle Hines,429,44,1444,1,0,0,1,Low-Value
Lacey Lynch,433,93,397.53,1,0,0,1,Low-Value
Laura Williams,443,4,796,1,0,0,1,Low-Value
William Jones,436,36,1352,1,0,0,1,Low-Value
Robert Robinson,465,85,5412,1,0,0,1,Low-Value
Roberta Brown,459,30,95,1,0,0,1,Low-Value
Mr. Devin Moran DDS,482,25,62,1,0,0,1,Low-Value
Daniel Perez,410,57,3709,1,0,0,1,Low-Value
Mary Smith,424,7,396,1,0,0,1,Low-Value
Dustin May,457,42,406,1,0,0,1,Low-Value
Jamie Flores,435,10,1791,1,0,0,1,Low-Value
Kelly Mora,486,4,338,1,0,0,1,Low-Value
Christy Spears,417,9,173,1,0,0,1,Low-Value
Steven Mcdowell,416,19,386,1,0,0,1,Low-Value
Luis Foster,457,18,1348,1,0,0,1,Low-Value
Tina Jones,419,56,457.3,1,0,0,1,Low-Value
Charles Parsons,449,10,561,1,0,0,1,Low-Value
Douglas Sims,441,2,202,1,0,0,1,Low-Value
Anna Jones,477,4,428,1,0,0,1,Low-Value
Alexandra Turner,437,17,998,1,0,0,1,Low-Value
Jennifer Johnson,455,31,964,1,0,0,1,Low-Value
Sandra Mendoza,457,16,1318,1,0,0,1,Low-Value
Brent Stevens,421,9,187,1,0,0,1,Low-Value
Jacqueline Hill,430,10,383,1,0,0,1,Low-Value
Mark Harper,450,4,962,1,0,0,1,Low-Value
Brandi Bennett,484,62,2641,1,0,0,1,Low-Value
Brandon Dodson,414,10,17.4,1,0,0,1,Low-Value
Tonya Brown,454,5,1496,1,0,0,1,Low-Value
Adam Taylor,477,6,152,1,0,0,1,Low-Value
Michael Jackson,420,8,4235,1,0,0,1,Low-Value
Kevin Rodriguez,409,47,3092,1,0,0,1,Low-Value
Richard Butler,463,22,755,1,0,0,1,Low-Value
Jill Wilson,419,18,2055,1,0,0,1,Low-Value
Lisa Everett,428,21,773,1,0,0,1,Low-Value
Aaron Miller,433,11,1971.1,1,0,0,1,Low-Value
Paul Villa,435,13,2317,1,0,0,1,Low-Value
Sherry Horton,452,6,329,1,0,0,1,Low-Value
Brandon Mcmahon,471,3,401,1,0,0,1,Low-Value
Gregory Harris,496,15,3724.2,1,0,0,1,Low-Value
Daniel Stephens,426,10,1107,1,0,0,1,Low-Value
Kim Barton,438,27,100.9,1,0,0,1,Low-Value
Andrew Smith,428,9,1384,1,0,0,1,Low-Value
Scott West,429,7,228,1,0,0,1,Low-Value
Jennifer Boyle,486,16,630,1,0,0,1,Low-Value
Crystal Vega,412,3,174,1,0,0,1,Low-Value
Dylan Thomas,443,30,2535,1,0,0,1,Low-Value
Samuel Ortiz,408,57,556.2,1,0,0,1,Low-Value
Catherine Clark,422,15,627,1,0,0,1,Low-Value
Michele Thompson,421,16,71.2,1,0,0,1,Low-Value
Julie Freeman,464,4,88,1,0,0,1,Low-Value
Madeline Hughes,444,29,306.8,1,0,0,1,Low-Value
Lisa Young,433,163,7846.5,1,0,0,1,Low-Value
Elijah Kelley,485,10,209,1,0,0,1,Low-Value
Kyle Morris,429,32,444,1,0,0,1,Low-Value
Ryan Davis,412,11,678,1,0,0,1,Low-Value
Robert Roman,409,8,564,1,0,0,1,Low-Value
Jonathan Russell,451,5,287,1,0,0,1,Low-Value
Katie Johnson,436,3,418,1,0,0,1,Low-Value
Donna Booker,476,115,5085,1,0,0,1,Low-Value
Brandon Hubbard,435,101,438.8,1,0,0,1,Low-Value
Heather Johnson,492,48,2144,1,0,0,1,Low-Value
Rebecca Herring,438,29,1921,1,0,0,1,Low-Value
Paul Bishop,458,11,176,1,0,0,1,Low-Value
Michelle Torres,450,13,107.2,1,0,0,1,Low-Value
Travis Torres,424,13,4404,1,0,0,1,Low-Value
Allison Fletcher,442,6,1243,1,0,0,1,Low-Value
Pamela Rice,456,98,2581,1,0,0,1,Low-Value
Jeffrey Gonzalez,471,58,3302,1,0,0,1,Low-Value
Richard Griffin,475,18,185.8,1,0,0,1,Low-Value
Katie Marks,456,9,480,1,0,0,1,Low-Value
Christopher Krause,441,59,953,1,0,0,1,Low-Value
Michael Johnson,410,30,4502,1,0,0,1,Low-Value
Molly Green,457,3,174,1,0,0,1,Low-Value
Bradley Johnson,492,23,583,1,0,0,1,Low-Value
Sarah Cardenas,410,19,343,1,0,0,1,Low-Value
James Charles,492,2,38,1,0,0,1,Low-Value
Tracy Reyes,491,4,196,1,0,0,1,Low-Value
Andrew Webster,441,5,1407,1,0,0,1,Low-Value
Thomas Harris,431,5,437,1,0,0,1,Low-Value
Lindsey Parks,438,16,288,1,0,0,1,Low-Value
Mercedes Herring,491,7,27,1,0,0,1,Low-Value
Dennis Brown,428,5,205,1,0,0,1,Low-Value
Jennifer Wilson,471,4,196,1,0,0,1,Low-Value
Brandon Parsons,412,7,907,1,0,0,1,Low-Value
Carlos Young,431,251,6293.8,1,0,0,1,Low-Value
Travis Rivera,459,10,786,1,0,0,1,Low-Value
Maureen Martinez,429,180,9848.45,1,0,0,1,Low-Value
Craig Lewis,451,5,4412,1,0,0,1,Low-Value
Emma Edwards,493,4,25,1,0,0,1,Low-Value
Anthony Chung,476,4,8,1,0,0,1,Low-Value
Daniel Anderson,471,9,616,1,0,0,1,Low-Value
Cynthia Cook,417,4,127,1,0,0,1,Low-Value
Joseph Thompson,484,4,787,1,0,0,1,Low-Value
James Mcbride,431,86,5708.4,1,0,0,1,Low-Value
April Price,408,11,234,1,0,0,1,Low-Value
Connie Griffith,437,7,2324,1,0,0,1,Low-Value
Joanna Shepard,487,36,4787,1,0,0,1,Low-Value
Patrick Reed,472,2,20,1,0,0,1,Low-Value
Alexander James,434,6,101,1,0,0,1,Low-Value
Traci Taylor,459,2,576,1,0,0,1,Low-Value
Kayla Hull,463,42,2997,1,0,0,1,Low-Value
Yvonne Larsen,478,23,407,1,0,0,1,Low-Value
Michael Fleming,476,17,243.2,1,0,0,1,Low-Value
Robert Greer,421,10,33,1,0,0,1,Low-Value
Robert Smith,472,5,282,1,0,0,1,Low-Value
Jimmy Johnson,409,12,2427,1,0,0,1,Low-Value
Sara King,476,6,76,1,0,0,1,Low-Value
Richard Mason,409,7,150,1,0,0,1,Low-Value
Nicholas Baker,449,96,1555,1,0,0,1,Low-Value
Michael Burns,451,2,442,1,0,0,1,Low-Value
Eric Gates,458,6,143,1,0,0,1,Low-Value
John White,415,37,4250,1,0,0,1,Low-Value
Charles Coleman,485,6,526,1,0,0,1,Low-Value
Pamela Rodriguez,494,6,466,1,0,0,1,Low-Value
Alejandro Bennett,492,8,385,1,0,0,1,Low-Value
Peter Hughes,440,19,2223,1,0,0,1,Low-Value
Daniel Burke,430,97,1086.99,1,0,0,1,Low-Value
Wyatt Wade,450,60,4906,1,0,0,1,Low-Value
Susan Young,451,49,1369,1,0,0,1,Low-Value
Charles Garcia,465,131,3425,1,0,0,1,Low-Value
Judy Anderson,476,6,2085,1,0,0,1,Low-Value
Adrian Harrison,471,5,791,1,0,0,1,Low-Value
Sandra Andrews,494,7,115,1,0,0,1,Low-Value
Brian Dunn,459,10,254,1,0,0,1,Low-Value
Richard Doyle MD,455,19,464,1,0,0,1,Low-Value
Richard Mills,415,10,445,1,0,0,1,Low-Value
Louis Ortega,461,10,129,1,0,0,1,Low-Value
Ethan Webb,496,1,50,1,0,0,1,Low-Value
Lindsey Coleman,496,5,81,1,0,0,1,Low-Value
James Cooper,496,32,6858,1,0,0,1,Low-Value
Sharon Hodges,496,1,22,1,0,0,1,Low-Value
Ashley Edwards,493,4,59,1,0,0,1,Low-Value
Paula Hughes,494,5,568,1,0,0,1,Low-Value
Yvette Rogers,494,1,257,1,0,0,1,Low-Value
Shannon Smith,494,1,390,1,0,0,1,Low-Value
Amy Hammond,412,11,206,1,0,0,1,Low-Value
Eric Henderson,494,6,41,1,0,0,1,Low-Value
John Malone,414,121,885.4,1,0,0,1,Low-Value
Ann Dominguez,494,11,905,1,0,0,1,Low-Value
Steven Hall,416,12,224,1,0,0,1,Low-Value
Caitlin Grimes,494,5,246,1,0,0,1,Low-Value
Lindsey Morales,494,1,107,1,0,0,1,Low-Value
Johnathan Terry,494,3,190,1,0,0,1,Low-Value
Scott Crawford,493,18,1301,1,0,0,1,Low-Value
Victor Merritt,493,1,16,1,0,0,1,Low-Value
Kelly Rodriguez,493,47,1679,1,0,0,1,Low-Value
Russell Snow,493,1,207,1,0,0,1,Low-Value
Rebekah Davis,493,18,84,1,0,0,1,Low-Value
Lisa Sandoval,493,6,3143,1,0,0,1,Low-Value
Tiffany Thomas,493,5,717,1,0,0,1,Low-Value
Christina Hood,493,2,436,1,0,0,1,Low-Value
Robin Phillips,493,18,5480,1,0,0,1,Low-Value
Andrew Scott,492,7,539,1,0,0,1,Low-Value
Sherry Garcia,493,2,1181,1,0,0,1,Low-Value
Shawn Hernandez,492,6,288,1,0,0,1,Low-Value
Dana Edwards,493,1,54,1,0,0,1,Low-Value
Amber Martinez MD,493,1,36,1,0,0,1,Low-Value
Jerry Morales,493,2,60,1,0,0,1,Low-Value
Anne Freeman,493,12,176,1,0,0,1,Low-Value
Shane Cook,492,1,30,1,0,0,1,Low-Value
Roger Green,492,1,13,1,0,0,1,Low-Value
Thomas Thomas,415,38,884,1,0,0,1,Low-Value
Raymond Ortiz,492,6,319,1,0,0,1,Low-Value
Walter Johnson,492,2,44,1,0,0,1,Low-Value
Arthur Diaz,492,18,181,1,0,0,1,Low-Value
Heather Cruz,492,4,397,1,0,0,1,Low-Value
Anthony Riley,492,3,987,1,0,0,1,Low-Value
Kari Macdonald,492,3,135,1,0,0,1,Low-Value
Molly Jones,492,5,67,1,0,0,1,Low-Value
Heather Saunders,492,2,631,1,0,0,1,Low-Value
Ronald Dawson,492,6,77,1,0,0,1,Low-Value
Gary Johnston,492,35,1355,1,0,0,1,Low-Value
Joshua Hopkins,492,1,180,1,0,0,1,Low-Value
Devin Lewis,492,1,1036,1,0,0,1,Low-Value
Kayla Baker,492,105,3234,1,0,0,1,Low-Value
Sandra Chambers,456,6,36,1,0,0,1,Low-Value
Matthew Shelton,491,1,405,1,0,0,1,Low-Value
James Nichols,412,3,252,1,0,0,1,Low-Value
Beth Morales,491,4,763,1,0,0,1,Low-Value
Christopher Wagner,455,3,362,1,0,0,1,Low-Value
Wayne Anderson,491,1,128,1,0,0,1,Low-Value
Katherine Lopez,465,58,1393,1,0,0,1,Low-Value
Jonathan Rodriguez,491,1,130,1,0,0,1,Low-Value
Matthew Hill,491,23,622,1,0,0,1,Low-Value
Christopher West,491,12,357,1,0,0,1,Low-Value
Daniel Arnold,491,1,315,1,0,0,1,Low-Value
Patricia Boyd,491,1,64,1,0,0,1,Low-Value
